ano,uf_codigo,internacoes_por_lesao,com_causa_externa,pct_preenchido
2009,11,7770,6487,0.8348777348777349
2009,12,4459,4149,0.9304776855797264
2009,13,7297,5431,0.7442784706043579
2009,14,2149,1998,0.9297347603536529
2009,15,43650,40725,0.9329896907216495
2009,16,2906,2323,0.7993805918788713
2009,17,11056,10261,0.9280933429811867
2009,21,19857,18191,0.9161001158281714
2009,22,12051,10261,0.8514646087461621
2009,23,39076,37044,0.9479987716245266
2009,24,9091,8790,0.966890331096689
2009,25,17106,16965,0.9917572781480183
2009,26,30320,29345,0.9678430079155673
2009,27,9329,9253,0.9918533604887984
2009,28,6215,5927,0.9536604987932421
2009,29,51831,42531,0.8205707009318748
2009,31,103846,88073,0.8481116268320398
2009,32,14749,11039,0.7484575225439013
2009,33,40495,36502,0.9013952339795036
2009,35,213180,201432,0.944891640866873
2009,41,68358,58588,0.8570759823283303
2009,42,36384,31414,0.8634014951627089
2009,43,50283,37584,0.747449436191158
2009,50,15808,15059,0.9526189271255061
2009,51,16323,13168,0.806714452000245
2009,52,34551,30242,0.8752858093832306
2009,53,12191,10428,0.8553851201706176
2010,11,9075,7636,0.8414325068870523
2010,12,4522,4467,0.9878372401592216
2010,13,7504,5872,0.7825159914712153
2010,14,2491,2428,0.9747089522280209
2010,15,44101,43282,0.9814289925398517
2010,16,2523,2399,0.9508521601268332
2010,17,11649,9599,0.8240192291183792
2010,21,20375,19818,0.9726625766871165
2010,22,14258,13164,0.9232711460232852
2010,23,42775,42633,0.9966803039158387
2010,24,10899,10823,0.9930268832002936
2010,25,17778,17720,0.9967375407807403
2010,26,34612,34298,0.9909280018490697
2010,27,9197,9181,0.9982603022724802
2010,28,7251,7203,0.9933802234174597
2010,29,58353,54302,0.9305776909499083
2010,31,106106,102499,0.9660056924207867
2010,32,16111,14085,0.8742474086028179
2010,33,44543,43859,0.9846440518151001
2010,35,222747,219876,0.9871109375210441
2010,41,69931,69040,0.9872588694570362
2010,42,36020,35258,0.9788450860632981
2010,43,49860,48271,0.9681307661452065
2010,50,16695,16526,0.9898772087451333
2010,51,16895,16051,0.9500443918319029
2010,52,35368,34333,0.9707362587649853
2010,53,12631,12551,0.9936663763755839
2011,11,8688,7571,0.8714318600368324
2011,12,4583,4454,0.9718524983635174
2011,13,10131,8061,0.7956766360675156
2011,14,2202,2143,0.9732061762034514
2011,15,43492,42071,0.9673273245654374
2011,16,2117,1937,0.9149740198393954
2011,17,12276,9441,0.7690615835777126
2011,21,23271,21337,0.9168922693481156
2011,22,15486,14213,0.9177967196177192
2011,23,42524,42139,0.9909462891543599
2011,24,11885,11681,0.9828355069415229
2011,25,15776,14854,0.9415567951318459
2011,26,40740,40280,0.9887088856161022
2011,27,10428,10382,0.9955887993862678
2011,28,7403,7359,0.9940564635958395
2011,29,61754,57843,0.9366680700845289
2011,31,110006,106318,0.9664745559333128
2011,32,18015,16255,0.9023036358590064
2011,33,47579,46661,0.9807057735555602
2011,35,229834,226112,0.9838057032466911
2011,41,73323,72243,0.985270651773659
2011,42,38278,37393,0.9768796697842103
2011,43,49522,47209,0.9532934857235168
2011,50,18113,17797,0.9825539667642025
2011,51,18662,18049,0.9671525024113171
2011,52,38206,37180,0.9731455792283934
2011,53,13573,13358,0.9841597288734989
2012,11,9553,8129,0.8509368784674971
2012,12,4357,4244,0.9740647234335552
2012,13,11275,9195,0.8155210643015521
